City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,nadym,RU,65.5333,72.5167,-24.29,91,74,10.09,broken clouds
150,hofn,IS,64.2539,-15.2082,26.62,74,90,6.91,light snow
151,maneadero,MX,31.7167,-116.5667,58.96,50,0,2.19,clear sky
152,hasaki,JP,35.7333,140.8333,28.8,53,57,10.67,broken clouds
153,hithadhoo,MV,-0.6,73.0833,82.54,74,100,8.55,overcast clouds
154,port jervis,US,41.3751,-74.6927,38.77,83,100,11.18,overcast clouds
155,ambilobe,MG,-13.2,49.05,75.31,97,100,3.71,moderate rain
156,darapidap,PH,17.2131,120.4114,74.17,79,77,2.84,broken clouds
157,weihe,CN,32.9952,105.3247,37.4,90,100,1.9,overcast clouds
158,neuquen,AR,-38.9516,-68.0591,87.69,25,0,3.44,clear sky
159,turukhansk,RU,65.8167,87.9833,-1.03,96,100,13.18,overcast clouds
160,bredasdorp,ZA,-34.5322,20.0403,70.29,54,22,14.38,few clouds
161,eureka,US,40.8021,-124.1637,52.2,95,100,3.0,overcast clouds
162,constitucion,CL,-35.3333,-72.4167,69.33,58,1,11.83,clear sky
163,north bend,US,43.4065,-124.2243,49.91,100,90,0.0,mist
164,batagay-alyta,RU,67.8006,130.4114,-43.02,96,7,4.45,clear sky
165,maniitsoq,GL,65.4167,-52.9,25.52,75,100,16.64,light snow
166,nanyamba,TZ,-10.6833,39.8333,80.76,70,98,9.66,overcast clouds
167,ahvaz,IR,31.3203,48.6693,55.35,67,3,4.61,haze
168,cabo san lucas,MX,22.8909,-109.9124,71.51,77,0,1.79,clear sky
169,wattegama,LK,6.7989,81.4808,72.52,95,52,4.88,broken clouds
170,hurghada,EG,27.2574,33.8129,65.1,57,0,9.86,clear sky
171,adrar,MR,20.5022,-10.0711,76.08,13,92,10.71,overcast clouds
172,kloulklubed,PW,7.0419,134.2556,75.7,80,98,16.08,overcast clouds
173,vanavara,RU,60.34,102.2797,17.49,95,100,6.2,overcast clouds
174,ponta do sol,PT,32.6667,-17.1,67.01,54,21,4.21,few clouds
175,puerto baquerizo moreno,EC,-0.9,-89.6,74.39,88,75,10.36,broken clouds
176,port lincoln,AU,-34.7333,135.8667,61.57,80,98,18.5,overcast clouds
177,puerto ayora,EC,-0.7393,-90.3518,78.76,78,89,9.24,overcast clouds
178,iracoubo,GF,5.4802,-53.2011,79.56,80,77,8.23,broken clouds
179,bonavista,CA,48.6499,-53.1147,29.12,58,21,26.66,few clouds
180,salym,RU,60.0625,71.4789,-2.54,96,100,6.13,overcast clouds
181,ribeira grande,PT,38.5167,-28.7,64.8,88,40,12.66,scattered clouds
182,campo grande,BR,-20.4428,-54.6464,85.55,62,40,6.91,scattered clouds
183,khasan,RU,42.4308,130.6434,15.62,53,1,4.65,clear sky
184,kavieng,PG,-2.5744,150.7967,81.28,79,100,11.52,light rain
185,hirara,JP,24.8,125.2833,72.59,72,100,10.04,light rain
186,sorland,NO,67.667,12.6934,30.06,58,100,34.11,light snow
187,arman,RU,59.7,150.1667,27.03,82,98,11.79,overcast clouds
188,quetigny,FR,47.3167,5.1167,41.54,65,0,9.22,clear sky
189,khatanga,RU,71.9667,102.5,-6.75,97,100,5.73,overcast clouds
190,vilhena,BR,-12.7406,-60.1458,77.63,84,91,5.82,overcast clouds
191,atar,MR,20.5169,-13.0499,80.15,12,99,12.21,overcast clouds
192,sal rei,CV,16.1833,-22.9167,80.8,47,100,13.8,overcast clouds
193,ucluelet,CA,48.9329,-125.5528,33.1,93,100,6.51,overcast clouds
194,bitung,ID,1.4451,125.1824,77.85,86,71,6.91,broken clouds
